Write Time @ 2020-03-06,17:47:08
rownum_	houses_floor_space	rent_price	ho_orien	houses_floor_no	houses_rm_no	houses_type	proj_region	proj_name	deco_type	ho_id
1	 86.43	 7606	 北	 31	 3101	 三房	 南山区	 塘朗城广场	 毛坯房	 100001011667
2	 40.95	 4669	 北	 31	 3102	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011671
3	 61.97	 6012	 北	 31	 3103	 两房	 南山区	 塘朗城广场	 毛坯房	 100001011674
4	 40.91	 4664	 北	 31	 3105	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011676
5	 34.03	 3880	 北	 31	 3106	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011679
6	 34.03	 3880	 北	 31	 3107	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011683
7	 34.03	 3880	 北	 31	 3108	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011686
8	 34.03	 3880	 北	 31	 3109	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011688
9	 34.03	 3880	 北	 31	 3110	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011692
10	 40.91	 4664	 北	 31	 3112	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011696
11	 61.97	 6012	 北	 31	 3113	 两房	 南山区	 塘朗城广场	 毛坯房	 100001011699
12	 40.95	 4669	 北	 31	 3115	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011704
13	 86.43	 7606	 北	 31	 3116	 三房	 南山区	 塘朗城广场	 毛坯房	 100001011706
14	 84.64	 7957	 南	 31	 3117	 三房	 南山区	 塘朗城广场	 毛坯房	 100001011710
15	 38.32	 4867	 南	 31	 3118	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011711
16	 57.87	 6250	 南	 31	 3119	 两房	 南山区	 塘朗城广场	 毛坯房	 100001011715
17	 38.28	 4862	 南	 31	 3120	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011718
18	 31.79	 4038	 南	 31	 3121	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011720
19	 32.11	 4078	 南	 31	 3122	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011725
20	 31.79	 4038	 南	 31	 3123	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011728
21	 31.79	 4038	 南	 31	 3125	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011729
22	 32.11	 4078	 南	 31	 3126	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011734
23	 31.79	 4038	 南	 31	 3127	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011737
24	 38.28	 4862	 南	 31	 3128	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011740
25	 57.87	 6250	 南	 31	 3129	 两房	 南山区	 塘朗城广场	 毛坯房	 100001011742
26	 38.32	 4867	 南	 31	 3130	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011744
27	 84.64	 7957	 南	 31	 3131	 三房	 南山区	 塘朗城广场	 毛坯房	 100001011747
28	 86.43	 7606	 北	 32	 3201	 三房	 南山区	 塘朗城广场	 毛坯房	 100001011668
29	 40.95	 4669	 北	 32	 3202	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011669
30	 61.97	 6012	 北	 32	 3203	 两房	 南山区	 塘朗城广场	 毛坯房	 100001011673
31	 40.91	 4664	 北	 32	 3205	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011677
32	 34.03	 3880	 北	 32	 3206	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011678
33	 34.03	 3880	 北	 32	 3207	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011681
34	 34.03	 3880	 北	 32	 3208	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011684
35	 34.03	 3880	 北	 32	 3209	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011689
36	 34.03	 3880	 北	 32	 3210	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011691
37	 34.03	 3880	 北	 32	 3211	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011695
38	 40.91	 4664	 北	 32	 3212	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011698
39	 61.97	 6012	 北	 32	 3213	 两房	 南山区	 塘朗城广场	 毛坯房	 100001011701
40	 40.95	 4669	 北	 32	 3215	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011703
41	 86.43	 7606	 北	 32	 3216	 三房	 南山区	 塘朗城广场	 毛坯房	 100001011707
42	 84.64	 7957	 南	 32	 3217	 三房	 南山区	 塘朗城广场	 毛坯房	 100001011709
43	 38.32	 4867	 南	 32	 3218	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011712
44	 57.87	 6250	 南	 32	 3219	 两房	 南山区	 塘朗城广场	 毛坯房	 100001011716
45	 38.28	 4862	 南	 32	 3220	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011719
46	 31.79	 4038	 南	 32	 3221	 一房	 南山区	 塘朗城广场	 毛坯房	 100001011721
